entity1,entity2,relationship_type,question1,question2,question3,biomistral-7b_q1,biomistral-7b_q2,biomistral-7b_q3,gemma-3-4b_q1,gemma-3-4b_q2,gemma-3-4b_q3,gemma-4-e4b_q1,gemma-4-e4b_q2,gemma-4-e4b_q3,ii-medical-8b_q1,ii-medical-8b_q2,ii-medical-8b_q3,llama-3.1-8b_q1,llama-3.1-8b_q2,llama-3.1-8b_q3,medgemma-4b_q1,medgemma-4b_q2,medgemma-4b_q3,meditron-7b_q1,meditron-7b_q2,meditron-7b_q3,meerkat-7b_q1,meerkat-7b_q2,meerkat-7b_q3,mistral-7b_q1,mistral-7b_q2,mistral-7b_q3,qwen3-8b_q1,qwen3-8b_q2,qwen3-8b_q3,ultramed-3.1-8b_q1,ultramed-3.1-8b_q2,ultramed-3.1-8b_q3
PCOS,testosterone elevation,disease-symptom,Is PCOS a disease?,Is testosterone elevation a symptom?,Is testosterone elevation a symptom of PCOS?,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no
PCOS,period absence,disease-symptom,Is PCOS a disease?,Is period absence a symptom?,Is period absence a symptom of PCOS?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no
whiplash,stiff,disease-symptom,Is whiplash a disease?,Is stiff a symptom?,Is stiff a symptom of whiplash?,yes,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
whiplash,painful,disease-symptom,Is whiplash a disease?,Is painful a symptom?,Is painful a symptom of whiplash?,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
bruising,smashed finger,symptom-disease,Is bruising a symptom?,Is smashed finger a disease?,Is bruising a symptom of smashed finger?,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,,yes,no,yes,no,no,yes,yes,no,yes
swelling,smashed finger,symptom-disease,Is swelling a symptom?,Is smashed finger a disease?,Is swelling a symptom of smashed finger?,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,,yes,no,yes,no,no,yes,yes,no,yes
pain,smashed finger,symptom-disease,Is pain a symptom?,Is smashed finger a disease?,Is pain a symptom of smashed finger?,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes
Brown Recluse Bite,dark red color,disease-symptom,Is Brown Recluse Bite a disease?,Is dark red color a symptom?,Is dark red color a symptom of Brown Recluse Bite?,yes,no,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no
Brown Recluse Bite,scab,disease-symptom,Is Brown Recluse Bite a disease?,Is scab a symptom?,Is scab a symptom of Brown Recluse Bite?,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,,yes,yes,yes,yes,no,no,yes,no,yes,yes
chest pain,heart attack,symptom-disease,Is chest pain a symptom?,Is heart attack a disease?,Is chest pain a symptom of heart attack?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
shortness of breath,heart failure,symptom-disease,Is shortness of breath a symptom?,Is heart failure a disease?,Is shortness of breath a symptom of heart failure?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
aspirin,heart attack,drug-disease,Is aspirin a drug?,Is heart attack a disease?,Is aspirin used to treat heart attack?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
infection,low WBC,disease-symptom,Is infection a disease?,Is low WBC a symptom?,Is low WBC a symptom of infection?,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes
Kidney infection,antibiotics,drug-disease,Is Kidney infection a drug?,Is antibiotics a disease?,Is Kidney infection used to treat antibiotics?,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,,no,no,no,no,no,no,no,no,yes
Kidney infection,Fever,disease-symptom,Is Kidney infection a disease?,Is Fever a symptom?,Is Fever a symptom of Kidney infection?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
UTI,burning urination,disease-symptom,Is UTI a disease?,Is burning urination a symptom?,Is burning urination a symptom of UTI?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
UTI,pain,disease-symptom,Is UTI a disease?,Is pain a symptom?,Is pain a symptom of UTI?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
UTI,low grade fever,disease-symptom,Is UTI a disease?,Is low grade fever a symptom?,Is low grade fever a symptom of UTI?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,no,yes,yes
burning urination,UTI,symptom-disease,Is burning urination a symptom?,Is UTI a disease?,Is burning urination a symptom of UTI?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
pain,UTI,symptom-disease,Is pain a symptom?,Is UTI a disease?,Is pain a symptom of UTI?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
low grade fever,UTI,symptom-disease,Is low grade fever a symptom?,Is UTI a disease?,Is low grade fever a symptom of UTI?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,no,yes
heart attack,chest pain,disease-symptom,Is heart attack a disease?,Is chest pain a symptom?,Is chest pain a symptom of heart attack?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
heart attack,jaw pain,disease-symptom,Is heart attack a disease?,Is jaw pain a symptom?,Is jaw pain a symptom of heart attack?,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes
chest pain,heart attack,symptom-disease,Is chest pain a symptom?,Is heart attack a disease?,Is chest pain a symptom of heart attack?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
jaw pain,heart attack,symptom-disease,Is jaw pain a symptom?,Is heart attack a disease?,Is jaw pain a symptom of heart attack?,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes
Humira,Crohn's disease,drug-disease,Is Humira a drug?,Is Crohn's disease a disease?,Is Humira used to treat Crohn's disease?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes
Crohn's disease,mouth ulcers,disease-symptom,Is Crohn's disease a disease?,Is mouth ulcers a symptom?,Is mouth ulcers a symptom of Crohn's disease?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Crohn's Disease,swollen lips,disease-symptom,Is Crohn's Disease a disease?,Is swollen lips a symptom?,Is swollen lips a symptom of Crohn's Disease?,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes
Orofacial Granulomatosis,swollen lips,disease-symptom,Is Orofacial Granulomatosis a disease?,Is swollen lips a symptom?,Is swollen lips a symptom of Orofacial Granulomatosis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Humira,Crohn's Disease,drug-disease,Is Humira a drug?,Is Crohn's Disease a disease?,Is Humira used to treat Crohn's Disease?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes
Steroid injections,Orofacial Granulomatosis,drug-disease,Is Steroid injections a drug?,Is Orofacial Granulomatosis a disease?,Is Steroid injections used to treat Orofacial Granulomatosis?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes
Antibiotics,Orofacial Granulomatosis,drug-disease,Is Antibiotics a drug?,Is Orofacial Granulomatosis a disease?,Is Antibiotics used to treat Orofacial Granulomatosis?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no
pcos,cysts,disease-symptom,Is pcos a disease?,Is cysts a symptom?,Is cysts a symptom of pcos?,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes
metformin,pcos,drug-disease,Is metformin a drug?,Is pcos a disease?,Is metformin used to treat pcos?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes
adderall,adhd,drug-disease,Is adderall a drug?,Is adhd a disease?,Is adderall used to treat adhd?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
xanax,anxiety,drug-disease,Is xanax a drug?,Is anxiety a disease?,Is xanax used to treat anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
rizatriptan,migraines,drug-disease,Is rizatriptan a drug?,Is migraines a disease?,Is rizatriptan used to treat migraines?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
metaxalone,back pain,drug-disease,Is metaxalone a drug?,Is back pain a disease?,Is metaxalone used to treat back pain?,yes,no,no,yes,no,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,,no,no,yes,yes,no,yes,no,yes,yes,no,yes
rash,itchy,disease-symptom,Is rash a disease?,Is itchy a symptom?,Is itchy a symptom of rash?,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
anxiety,erection,disease-symptom,Is anxiety a disease?,Is erection a symptom?,Is erection a symptom of anxiety?,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,yes
radiculopathy,pain,disease-symptom,Is radiculopathy a disease?,Is pain a symptom?,Is pain a symptom of radiculopathy?,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
radiculopathy,weakness,disease-symptom,Is radiculopathy a disease?,Is weakness a symptom?,Is weakness a symptom of radiculopathy?,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
radiculopathy,numbness,disease-symptom,Is radiculopathy a disease?,Is numbness a symptom?,Is numbness a symptom of radiculopathy?,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
myelopathy,exaggerated knee reflexes,disease-symptom,Is myelopathy a disease?,Is exaggerated knee reflexes a symptom?,Is exaggerated knee reflexes a symptom of myelopathy?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
pelvic cramps,cervical disease,symptom-disease,Is pelvic cramps a symptom?,Is cervical disease a disease?,Is pelvic cramps a symptom of cervical disease?,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
random spotting,cervical disease,symptom-disease,Is random spotting a symptom?,Is cervical disease a disease?,Is random spotting a symptom of cervical disease?,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
painful intercourse,cervical disease,symptom-disease,Is painful intercourse a symptom?,Is cervical disease a disease?,Is painful intercourse a symptom of cervical disease?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
tender cervix,cervical disease,symptom-disease,Is tender cervix a symptom?,Is cervical disease a disease?,Is tender cervix a symptom of cervical disease?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
tinnitus,ringing,disease-symptom,Is tinnitus a disease?,Is ringing a symptom?,Is ringing a symptom of tinnitus?,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
Flu,fever,disease-symptom,Is Flu a disease?,Is fever a symptom?,Is fever a symptom of Flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Flu,cough,disease-symptom,Is Flu a disease?,Is cough a symptom?,Is cough a symptom of Flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Viral myositis,painful lower legs,disease-symptom,Is Viral myositis a disease?,Is painful lower legs a symptom?,Is painful lower legs a symptom of Viral myositis?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes
Sertraline,depression,drug-disease,Is Sertraline a drug?,Is depression a disease?,Is Sertraline used to treat depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
sexual dysfunction,sexual fluid,disease-symptom,Is sexual dysfunction a disease?,Is sexual fluid a symptom?,Is sexual fluid a symptom of sexual dysfunction?,yes,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no
Clotrimazole,jock itch,drug-disease,Is Clotrimazole a drug?,Is jock itch a disease?,Is Clotrimazole used to treat jock itch?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
depression,motivation issues,disease-symptom,Is depression a disease?,Is motivation issues a symptom?,Is motivation issues a symptom of depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
chemo,Hodgkin cancer,drug-disease,Is chemo a drug?,Is Hodgkin cancer a disease?,Is chemo used to treat Hodgkin cancer?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
steroids,allergic reactions,drug-disease,Is steroids a drug?,Is allergic reactions a disease?,Is steroids used to treat allergic reactions?,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes
allergic reactions,hives,disease-symptom,Is allergic reactions a disease?,Is hives a symptom?,Is hives a symptom of allergic reactions?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
allergic reactions,swelling,disease-symptom,Is allergic reactions a disease?,Is swelling a symptom?,Is swelling a symptom of allergic reactions?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes
allergic reactions,tongue swells,disease-symptom,Is allergic reactions a disease?,Is tongue swells a symptom?,Is tongue swells a symptom of allergic reactions?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
allergic reactions,throat closed,disease-symptom,Is allergic reactions a disease?,Is throat closed a symptom?,Is throat closed a symptom of allergic reactions?,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes
seizure,lamotrigine,drug-disease,Is seizure a drug?,Is lamotrigine a disease?,Is seizure used to treat lamotrigine?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,no,no,no,no,no,no,no,no,no,no
hives,allergic reactions,symptom-disease,Is hives a symptom?,Is allergic reactions a disease?,Is hives a symptom of allergic reactions?,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes
drug,HBP,drug-disease,Is drug a drug?,Is HBP a disease?,Is drug used to treat HBP?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
Doxycycline,Hidradenitis Suppurativa,drug-disease,Is Doxycycline a drug?,Is Hidradenitis Suppurativa a disease?,Is Doxycycline used to treat Hidradenitis Suppurativa?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Adalimumab,Hidradenitis Suppurativa,drug-disease,Is Adalimumab a drug?,Is Hidradenitis Suppurativa a disease?,Is Adalimumab used to treat Hidradenitis Suppurativa?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
flu,cough,disease-symptom,Is flu a disease?,Is cough a symptom?,Is cough a symptom of flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
dry cough,flu,symptom-disease,Is dry cough a symptom?,Is flu a disease?,Is dry cough a symptom of flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
heart arrhythmia,heart rate,disease-symptom,Is heart arrhythmia a disease?,Is heart rate a symptom?,Is heart rate a symptom of heart arrhythmia?,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes
infections,pain,disease-symptom,Is infections a disease?,Is pain a symptom?,Is pain a symptom of infections?,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
corticosteroids,toxicity,drug-disease,Is corticosteroids a drug?,Is toxicity a disease?,Is corticosteroids used to treat toxicity?,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes
headaches,cervical spine spondylitic change,symptom-disease,Is headaches a symptom?,Is cervical spine spondylitic change a disease?,Is headaches a symptom of cervical spine spondylitic change?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
UTI,pain,disease-symptom,Is UTI a disease?,Is pain a symptom?,Is pain a symptom of UTI?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
kidney stone,pain,disease-symptom,Is kidney stone a disease?,Is pain a symptom?,Is pain a symptom of kidney stone?,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
autonomic neuropathy,night sweats,disease-symptom,Is autonomic neuropathy a disease?,Is night sweats a symptom?,Is night sweats a symptom of autonomic neuropathy?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no
pneumonia,haziness in lung,disease-symptom,Is pneumonia a disease?,Is haziness in lung a symptom?,Is haziness in lung a symptom of pneumonia?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,no,no,yes,yes,yes
Risperidone,MDD,drug-disease,Is Risperidone a drug?,Is MDD a disease?,Is Risperidone used to treat MDD?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,,no,yes,yes,no,yes,yes,no,yes,yes,no
Mirtazapine,MDD,drug-disease,Is Mirtazapine a drug?,Is MDD a disease?,Is Mirtazapine used to treat MDD?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Hydroxyzine,GAD,drug-disease,Is Hydroxyzine a drug?,Is GAD a disease?,Is Hydroxyzine used to treat GAD?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Seizures,convulsions,disease-symptom,Is Seizures a disease?,Is convulsions a symptom?,Is convulsions a symptom of Seizures?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
hep b vaccine,hep b,drug-disease,Is hep b vaccine a drug?,Is hep b a disease?,Is hep b vaccine used to treat hep b?,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no
pantoprazole,acid reflux,drug-disease,Is pantoprazole a drug?,Is acid reflux a disease?,Is pantoprazole used to treat acid reflux?,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
acid reflux,chronic pharyngitis,disease-symptom,Is acid reflux a disease?,Is chronic pharyngitis a symptom?,Is chronic pharyngitis a symptom of acid reflux?,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes
GERD,cough,disease-symptom,Is GERD a disease?,Is cough a symptom?,Is cough a symptom of GERD?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
burn,painful,disease-symptom,Is burn a disease?,Is painful a symptom?,Is painful a symptom of burn?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
burn,swelling,disease-symptom,Is burn a disease?,Is swelling a symptom?,Is swelling a symptom of burn?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,,yes,yes,no,yes,yes,no,no,yes,no,yes,yes
bacterial meningitis,headache,disease-symptom,Is bacterial meningitis a disease?,Is headache a symptom?,Is headache a symptom of bacterial meningitis?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
