entity1,entity2,relationship_type,question1,question2,question3
Sumatriptan,Chronic Migraines,drug-disease,Is Sumatriptan a drug?,Is Chronic Migraines a disease?,Is Sumatriptan used to treat Chronic Migraines?
Type 2 Diabetes,fatigue,disease-symptom,Is Type 2 Diabetes a disease?,Is fatigue a symptom?,Is fatigue a symptom of Type 2 Diabetes?
Chronic Migraines,fatigue,disease-symptom,Is Chronic Migraines a disease?,Is fatigue a symptom?,Is fatigue a symptom of Chronic Migraines?
pneumonia,coughing,disease-symptom,Is pneumonia a disease?,Is coughing a symptom?,Is coughing a symptom of pneumonia?
pneumonia,shortness of breath,disease-symptom,Is pneumonia a disease?,Is shortness of breath a symptom?,Is shortness of breath a symptom of pneumonia?
Viral Conjunctivitis,red,disease-symptom,Is Viral Conjunctivitis a disease?,Is red a symptom?,Is red a symptom of Viral Conjunctivitis?
Viral Conjunctivitis,discharge,disease-symptom,Is Viral Conjunctivitis a disease?,Is discharge a symptom?,Is discharge a symptom of Viral Conjunctivitis?
red,Viral Conjunctivitis,symptom-disease,Is red a symptom?,Is Viral Conjunctivitis a disease?,Is red a symptom of Viral Conjunctivitis?
discharge,Viral Conjunctivitis,symptom-disease,Is discharge a symptom?,Is Viral Conjunctivitis a disease?,Is discharge a symptom of Viral Conjunctivitis?
PMS,Irritability,disease-symptom,Is PMS a disease?,Is Irritability a symptom?,Is Irritability a symptom of PMS?
PMS,depressed mood,disease-symptom,Is PMS a disease?,Is depressed mood a symptom?,Is depressed mood a symptom of PMS?
PMS,increased hunger,disease-symptom,Is PMS a disease?,Is increased hunger a symptom?,Is increased hunger a symptom of PMS?
PMS,weight gain,disease-symptom,Is PMS a disease?,Is weight gain a symptom?,Is weight gain a symptom of PMS?
PMS,fatigue,disease-symptom,Is PMS a disease?,Is fatigue a symptom?,Is fatigue a symptom of PMS?
ovarian cysts,interperiod bleeding,disease-symptom,Is ovarian cysts a disease?,Is interperiod bleeding a symptom?,Is interperiod bleeding a symptom of ovarian cysts?
ovarian cysts,painful ruptures,disease-symptom,Is ovarian cysts a disease?,Is painful ruptures a symptom?,Is painful ruptures a symptom of ovarian cysts?
labetalol,hypertension,drug-disease,Is labetalol a drug?,Is hypertension a disease?,Is labetalol used to treat hypertension?
Famotidine,vomiting,drug-disease,Is Famotidine a drug?,Is vomiting a disease?,Is Famotidine used to treat vomiting?
Prilosec,vomiting,drug-disease,Is Prilosec a drug?,Is vomiting a disease?,Is Prilosec used to treat vomiting?
Cyclical Vomiting,vomiting,disease-symptom,Is Cyclical Vomiting a disease?,Is vomiting a symptom?,Is vomiting a symptom of Cyclical Vomiting?
Cyclical Vomiting,nausea,disease-symptom,Is Cyclical Vomiting a disease?,Is nausea a symptom?,Is nausea a symptom of Cyclical Vomiting?
vomiting,Cyclical Vomiting,symptom-disease,Is vomiting a symptom?,Is Cyclical Vomiting a disease?,Is vomiting a symptom of Cyclical Vomiting?
nausea,Cyclical Vomiting,symptom-disease,Is nausea a symptom?,Is Cyclical Vomiting a disease?,Is nausea a symptom of Cyclical Vomiting?
steroid cream,skin condition,drug-disease,Is steroid cream a drug?,Is skin condition a disease?,Is steroid cream used to treat skin condition?
skin condition,Redness,disease-symptom,Is skin condition a disease?,Is Redness a symptom?,Is Redness a symptom of skin condition?
skin condition,Itchiness,disease-symptom,Is skin condition a disease?,Is Itchiness a symptom?,Is Itchiness a symptom of skin condition?
Itchiness,skin condition,symptom-disease,Is Itchiness a symptom?,Is skin condition a disease?,Is Itchiness a symptom of skin condition?
Redness,skin condition,symptom-disease,Is Redness a symptom?,Is skin condition a disease?,Is Redness a symptom of skin condition?
allergic reactions,itchy,disease-symptom,Is allergic reactions a disease?,Is itchy a symptom?,Is itchy a symptom of allergic reactions?
bronchitis,antibiotics,drug-disease,Is bronchitis a drug?,Is antibiotics a disease?,Is bronchitis used to treat antibiotics?
Sulfa Drugs,allergic reactions,drug-disease,Is Sulfa Drugs a drug?,Is allergic reactions a disease?,Is Sulfa Drugs used to treat allergic reactions?
Crohn's disease,pain,disease-symptom,Is Crohn's disease a disease?,Is pain a symptom?,Is pain a symptom of Crohn's disease?
Endometriosis,pain,disease-symptom,Is Endometriosis a disease?,Is pain a symptom?,Is pain a symptom of Endometriosis?
seronegative rheumatoid arthritis,joints problem,disease-symptom,Is seronegative rheumatoid arthritis a disease?,Is joints problem a symptom?,Is joints problem a symptom of seronegative rheumatoid arthritis?
mosquito bites,itchy,disease-symptom,Is mosquito bites a disease?,Is itchy a symptom?,Is itchy a symptom of mosquito bites?
Betamethasone,Skin lesions,drug-disease,Is Betamethasone a drug?,Is Skin lesions a disease?,Is Betamethasone used to treat Skin lesions?
Skin lesions,itchy,disease-symptom,Is Skin lesions a disease?,Is itchy a symptom?,Is itchy a symptom of Skin lesions?
Skin lesions,bleed,disease-symptom,Is Skin lesions a disease?,Is bleed a symptom?,Is bleed a symptom of Skin lesions?
rabies vaccine,rabies,drug-disease,Is rabies vaccine a drug?,Is rabies a disease?,Is rabies vaccine used to treat rabies?
hantaviruses,fever,disease-symptom,Is hantaviruses a disease?,Is fever a symptom?,Is fever a symptom of hantaviruses?
hantaviruses,fatigue,disease-symptom,Is hantaviruses a disease?,Is fatigue a symptom?,Is fatigue a symptom of hantaviruses?
hantaviruses,muscle aches,disease-symptom,Is hantaviruses a disease?,Is muscle aches a symptom?,Is muscle aches a symptom of hantaviruses?
hantaviruses,shortness of breath,disease-symptom,Is hantaviruses a disease?,Is shortness of breath a symptom?,Is shortness of breath a symptom of hantaviruses?
hemorrhoid,blood,disease-symptom,Is hemorrhoid a disease?,Is blood a symptom?,Is blood a symptom of hemorrhoid?
Adderall,ADHD,drug-disease,Is Adderall a drug?,Is ADHD a disease?,Is Adderall used to treat ADHD?
Wellbutrin,depression,drug-disease,Is Wellbutrin a drug?,Is depression a disease?,Is Wellbutrin used to treat depression?
famotidine,GERD,drug-disease,Is famotidine a drug?,Is GERD a disease?,Is famotidine used to treat GERD?
untreated hypothyroidism,fatigue,disease-symptom,Is untreated hypothyroidism a disease?,Is fatigue a symptom?,Is fatigue a symptom of untreated hypothyroidism?
anxiety,fatigue,disease-symptom,Is anxiety a disease?,Is fatigue a symptom?,Is fatigue a symptom of anxiety?
asthma,shortness of breath,disease-symptom,Is asthma a disease?,Is shortness of breath a symptom?,Is shortness of breath a symptom of asthma?
anxiety,chest thumpy feelings,disease-symptom,Is anxiety a disease?,Is chest thumpy feelings a symptom?,Is chest thumpy feelings a symptom of anxiety?
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,Is Amoxicillin-Pot Clavulanate a drug?,Is wound infection a disease?,Is Amoxicillin-Pot Clavulanate used to treat wound infection?
red streak,wound infection,symptom-disease,Is red streak a symptom?,Is wound infection a disease?,Is red streak a symptom of wound infection?
fever,wound infection,symptom-disease,Is fever a symptom?,Is wound infection a disease?,Is fever a symptom of wound infection?
nausea,wound infection,symptom-disease,Is nausea a symptom?,Is wound infection a disease?,Is nausea a symptom of wound infection?
chemo/radiation,cancer,drug-disease,Is chemo/radiation a drug?,Is cancer a disease?,Is chemo/radiation used to treat cancer?
pulmonary tuberculosis,loss of appetite,disease-symptom,Is pulmonary tuberculosis a disease?,Is loss of appetite a symptom?,Is loss of appetite a symptom of pulmonary tuberculosis?
pulmonary tuberculosis,weight loss,disease-symptom,Is pulmonary tuberculosis a disease?,Is weight loss a symptom?,Is weight loss a symptom of pulmonary tuberculosis?
pulmonary tuberculosis,tired,disease-symptom,Is pulmonary tuberculosis a disease?,Is tired a symptom?,Is tired a symptom of pulmonary tuberculosis?
pulmonary tuberculosis,cough,disease-symptom,Is pulmonary tuberculosis a disease?,Is cough a symptom?,Is cough a symptom of pulmonary tuberculosis?
pulmonary tuberculosis,blood,disease-symptom,Is pulmonary tuberculosis a disease?,Is blood a symptom?,Is blood a symptom of pulmonary tuberculosis?
pulmonary tuberculosis,night sweats,disease-symptom,Is pulmonary tuberculosis a disease?,Is night sweats a symptom?,Is night sweats a symptom of pulmonary tuberculosis?
Finasteride,Androgenic Alopecia,drug-disease,Is Finasteride a drug?,Is Androgenic Alopecia a disease?,Is Finasteride used to treat Androgenic Alopecia?
Finasteride,erectile dysfunction,drug-disease,Is Finasteride a drug?,Is erectile dysfunction a disease?,Is Finasteride used to treat erectile dysfunction?
Cellulitis infection,fever,disease-symptom,Is Cellulitis infection a disease?,Is fever a symptom?,Is fever a symptom of Cellulitis infection?
Cellulitis infection,ankle swelling,disease-symptom,Is Cellulitis infection a disease?,Is ankle swelling a symptom?,Is ankle swelling a symptom of Cellulitis infection?
Cellulitis infection,redness,disease-symptom,Is Cellulitis infection a disease?,Is redness a symptom?,Is redness a symptom of Cellulitis infection?
Cellulitis infection,pain,disease-symptom,Is Cellulitis infection a disease?,Is pain a symptom?,Is pain a symptom of Cellulitis infection?
Paracetamol,fever,drug-disease,Is Paracetamol a drug?,Is fever a disease?,Is Paracetamol used to treat fever?
low magnesium,twitchy muscles,disease-symptom,Is low magnesium a disease?,Is twitchy muscles a symptom?,Is twitchy muscles a symptom of low magnesium?
low magnesium,hair loss,disease-symptom,Is low magnesium a disease?,Is hair loss a symptom?,Is hair loss a symptom of low magnesium?
low magnesium,anxiety,disease-symptom,Is low magnesium a disease?,Is anxiety a symptom?,Is anxiety a symptom of low magnesium?
low magnesium,mental fatigue,disease-symptom,Is low magnesium a disease?,Is mental fatigue a symptom?,Is mental fatigue a symptom of low magnesium?
Allergic reaction,Rash keeps,disease-symptom,Is Allergic reaction a disease?,Is Rash keeps a symptom?,Is Rash keeps a symptom of Allergic reaction?
Multiple sclerosis,muscle aches,disease-symptom,Is Multiple sclerosis a disease?,Is muscle aches a symptom?,Is muscle aches a symptom of Multiple sclerosis?
Miscarriage,Missing Period,disease-symptom,Is Miscarriage a disease?,Is Missing Period a symptom?,Is Missing Period a symptom of Miscarriage?
Lamictal,Bipolar 2,drug-disease,Is Lamictal a drug?,Is Bipolar 2 a disease?,Is Lamictal used to treat Bipolar 2?
blood cancers,night sweats,disease-symptom,Is blood cancers a disease?,Is night sweats a symptom?,Is night sweats a symptom of blood cancers?
blood cancers,weight loss,disease-symptom,Is blood cancers a disease?,Is weight loss a symptom?,Is weight loss a symptom of blood cancers?
blood cancers,fatigue,disease-symptom,Is blood cancers a disease?,Is fatigue a symptom?,Is fatigue a symptom of blood cancers?
Abdominal Aorta Aneurysm,throbbing/pulsing,disease-symptom,Is Abdominal Aorta Aneurysm a disease?,Is throbbing/pulsing a symptom?,Is throbbing/pulsing a symptom of Abdominal Aorta Aneurysm?
Abdominal Aorta Aneurysm,pain,disease-symptom,Is Abdominal Aorta Aneurysm a disease?,Is pain a symptom?,Is pain a symptom of Abdominal Aorta Aneurysm?
dermatitis,dry,disease-symptom,Is dermatitis a disease?,Is dry a symptom?,Is dry a symptom of dermatitis?
dermatitis,flaky,disease-symptom,Is dermatitis a disease?,Is flaky a symptom?,Is flaky a symptom of dermatitis?
dermatitis,red flush,disease-symptom,Is dermatitis a disease?,Is red flush a symptom?,Is red flush a symptom of dermatitis?
acne spots,acne,symptom-disease,Is acne spots a symptom?,Is acne a disease?,Is acne spots a symptom of acne?
pimple-like spots,acne,symptom-disease,Is pimple-like spots a symptom?,Is acne a disease?,Is pimple-like spots a symptom of acne?
BPPV,vertigo,disease-symptom,Is BPPV a disease?,Is vertigo a symptom?,Is vertigo a symptom of BPPV?
vertigo,BPPV,symptom-disease,Is vertigo a symptom?,Is BPPV a disease?,Is vertigo a symptom of BPPV?
gastroparesis,abnormally low glucose,disease-symptom,Is gastroparesis a disease?,Is abnormally low glucose a symptom?,Is abnormally low glucose a symptom of gastroparesis?
gastroparesis,abnormally high glucose,disease-symptom,Is gastroparesis a disease?,Is abnormally high glucose a symptom?,Is abnormally high glucose a symptom of gastroparesis?
glucagon,abnormally low glucose,drug-disease,Is glucagon a drug?,Is abnormally low glucose a disease?,Is glucagon used to treat abnormally low glucose?
SOD,abdominal pain,disease-symptom,Is SOD a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of SOD?
attack,SOD,symptom-disease,Is attack a symptom?,Is SOD a disease?,Is attack a symptom of SOD?
IBS-D,loose stools,disease-symptom,Is IBS-D a disease?,Is loose stools a symptom?,Is loose stools a symptom of IBS-D?
IBS,abdominal pain,disease-symptom,Is IBS a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of IBS?
citalopram,anxiety,drug-disease,Is citalopram a drug?,Is anxiety a disease?,Is citalopram used to treat anxiety?
POTS,vertigo,disease-symptom,Is POTS a disease?,Is vertigo a symptom?,Is vertigo a symptom of POTS?
POTS,dizziness,disease-symptom,Is POTS a disease?,Is dizziness a symptom?,Is dizziness a symptom of POTS?
POTS,tachycardia,disease-symptom,Is POTS a disease?,Is tachycardia a symptom?,Is tachycardia a symptom of POTS?
low blood pressure,dizziness,disease-symptom,Is low blood pressure a disease?,Is dizziness a symptom?,Is dizziness a symptom of low blood pressure?
low blood pressure,vertigo,disease-symptom,Is low blood pressure a disease?,Is vertigo a symptom?,Is vertigo a symptom of low blood pressure?
sodium tablets,POTS,drug-disease,Is sodium tablets a drug?,Is POTS a disease?,Is sodium tablets used to treat POTS?
anxiety,dizziness,disease-symptom,Is anxiety a disease?,Is dizziness a symptom?,Is dizziness a symptom of anxiety?
tachycardia,POTS,symptom-disease,Is tachycardia a symptom?,Is POTS a disease?,Is tachycardia a symptom of POTS?
Tuberous sclerosis,seizures,disease-symptom,Is Tuberous sclerosis a disease?,Is seizures a symptom?,Is seizures a symptom of Tuberous sclerosis?
autism,making own words,disease-symptom,Is autism a disease?,Is making own words a symptom?,Is making own words a symptom of autism?
anxiety,heart races,disease-symptom,Is anxiety a disease?,Is heart races a symptom?,Is heart races a symptom of anxiety?
Sunburn,swollen,disease-symptom,Is Sunburn a disease?,Is swollen a symptom?,Is swollen a symptom of Sunburn?
Low magnesium,cramp,disease-symptom,Is Low magnesium a disease?,Is cramp a symptom?,Is cramp a symptom of Low magnesium?
Low potassium,cramp,disease-symptom,Is Low potassium a disease?,Is cramp a symptom?,Is cramp a symptom of Low potassium?
depression,suicidal,disease-symptom,Is depression a disease?,Is suicidal a symptom?,Is suicidal a symptom of depression?
prozac,depression,drug-disease,Is prozac a drug?,Is depression a disease?,Is prozac used to treat depression?
wellbutrin,depression,drug-disease,Is wellbutrin a drug?,Is depression a disease?,Is wellbutrin used to treat depression?
risperidone,OCD,drug-disease,Is risperidone a drug?,Is OCD a disease?,Is risperidone used to treat OCD?
Prednisone,Extreme Anxiety,drug-disease,Is Prednisone a drug?,Is Extreme Anxiety a disease?,Is Prednisone used to treat Extreme Anxiety?
bupropion,MDD,drug-disease,Is bupropion a drug?,Is MDD a disease?,Is bupropion used to treat MDD?
trazodone,insomnia,drug-disease,Is trazodone a drug?,Is insomnia a disease?,Is trazodone used to treat insomnia?
hair loss,bupropion,drug-disease,Is hair loss a drug?,Is bupropion a disease?,Is hair loss used to treat bupropion?
testosterone shots,low testosterone,drug-disease,Is testosterone shots a drug?,Is low testosterone a disease?,Is testosterone shots used to treat low testosterone?
smoking,cancer,drug-disease,Is smoking a drug?,Is cancer a disease?,Is smoking used to treat cancer?
cold,stuffy nose,disease-symptom,Is cold a disease?,Is stuffy nose a symptom?,Is stuffy nose a symptom of cold?
stuffy nose,cold,symptom-disease,Is stuffy nose a symptom?,Is cold a disease?,Is stuffy nose a symptom of cold?
Ventricular septal defect,murmur,disease-symptom,Is Ventricular septal defect a disease?,Is murmur a symptom?,Is murmur a symptom of Ventricular septal defect?
type 2 diabetes,difficult to control blood sugar,disease-symptom,Is type 2 diabetes a disease?,Is difficult to control blood sugar a symptom?,Is difficult to control blood sugar a symptom of type 2 diabetes?
eczema,nail deformity,disease-symptom,Is eczema a disease?,Is nail deformity a symptom?,Is nail deformity a symptom of eczema?
Metoprolol,aortic valve insufficiency,drug-disease,Is Metoprolol a drug?,Is aortic valve insufficiency a disease?,Is Metoprolol used to treat aortic valve insufficiency?
aortic valve insufficiency,tired,disease-symptom,Is aortic valve insufficiency a disease?,Is tired a symptom?,Is tired a symptom of aortic valve insufficiency?
aortic valve insufficiency,dizziness,disease-symptom,Is aortic valve insufficiency a disease?,Is dizziness a symptom?,Is dizziness a symptom of aortic valve insufficiency?
cold,sore throat,disease-symptom,Is cold a disease?,Is sore throat a symptom?,Is sore throat a symptom of cold?
cold,tiredness,disease-symptom,Is cold a disease?,Is tiredness a symptom?,Is tiredness a symptom of cold?
cold,weakness,disease-symptom,Is cold a disease?,Is weakness a symptom?,Is weakness a symptom of cold?
carpal tunnel,numb hands,disease-symptom,Is carpal tunnel a disease?,Is numb hands a symptom?,Is numb hands a symptom of carpal tunnel?
carpal tunnel,painful hands,disease-symptom,Is carpal tunnel a disease?,Is painful hands a symptom?,Is painful hands a symptom of carpal tunnel?
carpal tunnel,weak hands,disease-symptom,Is carpal tunnel a disease?,Is weak hands a symptom?,Is weak hands a symptom of carpal tunnel?
E. coli,diarrhea,disease-symptom,Is E. coli a disease?,Is diarrhea a symptom?,Is diarrhea a symptom of E. coli?
E. coli,stomach cramps,disease-symptom,Is E. coli a disease?,Is stomach cramps a symptom?,Is stomach cramps a symptom of E. coli?
prostate cancer,urinates frequently,disease-symptom,Is prostate cancer a disease?,Is urinates frequently a symptom?,Is urinates frequently a symptom of prostate cancer?
Ganglion cyst,painful,disease-symptom,Is Ganglion cyst a disease?,Is painful a symptom?,Is painful a symptom of Ganglion cyst?
subungal melanoma,freckle,disease-symptom,Is subungal melanoma a disease?,Is freckle a symptom?,Is freckle a symptom of subungal melanoma?
lung cancer,chest pain,disease-symptom,Is lung cancer a disease?,Is chest pain a symptom?,Is chest pain a symptom of lung cancer?
hypertension,palpitations,disease-symptom,Is hypertension a disease?,Is palpitations a symptom?,Is palpitations a symptom of hypertension?
hypertension,nausea,disease-symptom,Is hypertension a disease?,Is nausea a symptom?,Is nausea a symptom of hypertension?
anxiety,hyperventilating,disease-symptom,Is anxiety a disease?,Is hyperventilating a symptom?,Is hyperventilating a symptom of anxiety?
anxiety,vomiting,disease-symptom,Is anxiety a disease?,Is vomiting a symptom?,Is vomiting a symptom of anxiety?
thalassemia minor,microcytosis,disease-symptom,Is thalassemia minor a disease?,Is microcytosis a symptom?,Is microcytosis a symptom of thalassemia minor?
thalassemia minor,anisocytosis,disease-symptom,Is thalassemia minor a disease?,Is anisocytosis a symptom?,Is anisocytosis a symptom of thalassemia minor?
thalassemia minor,poikilocytosis,disease-symptom,Is thalassemia minor a disease?,Is poikilocytosis a symptom?,Is poikilocytosis a symptom of thalassemia minor?
thalassemia minor,polychromasia,disease-symptom,Is thalassemia minor a disease?,Is polychromasia a symptom?,Is polychromasia a symptom of thalassemia minor?
thalassemia minor,hypochromasia,disease-symptom,Is thalassemia minor a disease?,Is hypochromasia a symptom?,Is hypochromasia a symptom of thalassemia minor?
iron overload,enlarged spleen,disease-symptom,Is iron overload a disease?,Is enlarged spleen a symptom?,Is enlarged spleen a symptom of iron overload?
iron overload,liver damage,disease-symptom,Is iron overload a disease?,Is liver damage a symptom?,Is liver damage a symptom of iron overload?
POTS,dizzy,disease-symptom,Is POTS a disease?,Is dizzy a symptom?,Is dizzy a symptom of POTS?
Petechiae,thrombocytopenia,symptom-disease,Is Petechiae a symptom?,Is thrombocytopenia a disease?,Is Petechiae a symptom of thrombocytopenia?
late stage liver failure,encephalopathy,disease-symptom,Is late stage liver failure a disease?,Is encephalopathy a symptom?,Is encephalopathy a symptom of late stage liver failure?
encephalopathy,late stage liver failure,symptom-disease,Is encephalopathy a symptom?,Is late stage liver failure a disease?,Is encephalopathy a symptom of late stage liver failure?
diabetes,pain,disease-symptom,Is diabetes a disease?,Is pain a symptom?,Is pain a symptom of diabetes?
fibromyalgia,pain,disease-symptom,Is fibromyalgia a disease?,Is pain a symptom?,Is pain a symptom of fibromyalgia?
Vertigo,dizzy,disease-symptom,Is Vertigo a disease?,Is dizzy a symptom?,Is dizzy a symptom of Vertigo?
concussion,headaches,disease-symptom,Is concussion a disease?,Is headaches a symptom?,Is headaches a symptom of concussion?
concussion,tired,disease-symptom,Is concussion a disease?,Is tired a symptom?,Is tired a symptom of concussion?
concussion,can't sleep,disease-symptom,Is concussion a disease?,Is can't sleep a symptom?,Is can't sleep a symptom of concussion?
Marfans,exceptionally tall,disease-symptom,Is Marfans a disease?,Is exceptionally tall a symptom?,Is exceptionally tall a symptom of Marfans?
Marfans,hyperflexible joints,disease-symptom,Is Marfans a disease?,Is hyperflexible joints a symptom?,Is hyperflexible joints a symptom of Marfans?
Marfans,indented chest,disease-symptom,Is Marfans a disease?,Is indented chest a symptom?,Is indented chest a symptom of Marfans?
methamphetamine,hair loss,drug-disease,Is methamphetamine a drug?,Is hair loss a disease?,Is methamphetamine used to treat hair loss?
telogen effluvium,hair loss,disease-symptom,Is telogen effluvium a disease?,Is hair loss a symptom?,Is hair loss a symptom of telogen effluvium?
shedding hair,telogen effluvium,symptom-disease,Is shedding hair a symptom?,Is telogen effluvium a disease?,Is shedding hair a symptom of telogen effluvium?
Metformin,Type 2 Diabetes,drug-disease,Is Metformin a drug?,Is Type 2 Diabetes a disease?,Is Metformin used to treat Type 2 Diabetes?
Type 2 Diabetes,headaches,disease-symptom,Is Type 2 Diabetes a disease?,Is headaches a symptom?,Is headaches a symptom of Type 2 Diabetes?
Severely Underactive Thyroid,tiredness,disease-symptom,Is Severely Underactive Thyroid a disease?,Is tiredness a symptom?,Is tiredness a symptom of Severely Underactive Thyroid?
POTS,shortness of breath,disease-symptom,Is POTS a disease?,Is shortness of breath a symptom?,Is shortness of breath a symptom of POTS?
POTS,heart rate skyrockets,disease-symptom,Is POTS a disease?,Is heart rate skyrockets a symptom?,Is heart rate skyrockets a symptom of POTS?
anxiety,no appetite,disease-symptom,Is anxiety a disease?,Is no appetite a symptom?,Is no appetite a symptom of anxiety?
Synthroid,subclinical hypothyroidism,drug-disease,Is Synthroid a drug?,Is subclinical hypothyroidism a disease?,Is Synthroid used to treat subclinical hypothyroidism?
gestational diabetes,high fasting glucose,disease-symptom,Is gestational diabetes a disease?,Is high fasting glucose a symptom?,Is high fasting glucose a symptom of gestational diabetes?
type 2 diabetes,high fasting glucose,disease-symptom,Is type 2 diabetes a disease?,Is high fasting glucose a symptom?,Is high fasting glucose a symptom of type 2 diabetes?
doxycycline,cellulitis,drug-disease,Is doxycycline a drug?,Is cellulitis a disease?,Is doxycycline used to treat cellulitis?
cellulitis,rash,disease-symptom,Is cellulitis a disease?,Is rash a symptom?,Is rash a symptom of cellulitis?
cellulitis,fever,disease-symptom,Is cellulitis a disease?,Is fever a symptom?,Is fever a symptom of cellulitis?
fever,infection,symptom-disease,Is fever a symptom?,Is infection a disease?,Is fever a symptom of infection?
dry drowning,coughing,disease-symptom,Is dry drowning a disease?,Is coughing a symptom?,Is coughing a symptom of dry drowning?
isopubic synchondrosis,limp,disease-symptom,Is isopubic synchondrosis a disease?,Is limp a symptom?,Is limp a symptom of isopubic synchondrosis?
Vitamin D,low vitamin D level,drug-disease,Is Vitamin D a drug?,Is low vitamin D level a disease?,Is Vitamin D used to treat low vitamin D level?
muscle endurance fatigue,low vitamin D level,symptom-disease,Is muscle endurance fatigue a symptom?,Is low vitamin D level a disease?,Is muscle endurance fatigue a symptom of low vitamin D level?
Seasonal Affective Disorder,loss of energy,disease-symptom,Is Seasonal Affective Disorder a disease?,Is loss of energy a symptom?,Is loss of energy a symptom of Seasonal Affective Disorder?
Seasonal Affective Disorder,low motivation,disease-symptom,Is Seasonal Affective Disorder a disease?,Is low motivation a symptom?,Is low motivation a symptom of Seasonal Affective Disorder?
flu,dull headache,disease-symptom,Is flu a disease?,Is dull headache a symptom?,Is dull headache a symptom of flu?
brain tumor,headache,disease-symptom,Is brain tumor a disease?,Is headache a symptom?,Is headache a symptom of brain tumor?
antibiotics,infection,drug-disease,Is antibiotics a drug?,Is infection a disease?,Is antibiotics used to treat infection?
Nysta,Oral thrush,drug-disease,Is Nysta a drug?,Is Oral thrush a disease?,Is Nysta used to treat Oral thrush?
Oral thrush,white tongue,disease-symptom,Is Oral thrush a disease?,Is white tongue a symptom?,Is white tongue a symptom of Oral thrush?
Oral thrush,swollen tongue,disease-symptom,Is Oral thrush a disease?,Is swollen tongue a symptom?,Is swollen tongue a symptom of Oral thrush?
cellulitis,sore,disease-symptom,Is cellulitis a disease?,Is sore a symptom?,Is sore a symptom of cellulitis?
cellulitis,redness,disease-symptom,Is cellulitis a disease?,Is redness a symptom?,Is redness a symptom of cellulitis?
antibiotics,cellulitis,drug-disease,Is antibiotics a drug?,Is cellulitis a disease?,Is antibiotics used to treat cellulitis?
Propranolol,essential tremor,drug-disease,Is Propranolol a drug?,Is essential tremor a disease?,Is Propranolol used to treat essential tremor?
essential tremor,tremor,disease-symptom,Is essential tremor a disease?,Is tremor a symptom?,Is tremor a symptom of essential tremor?
tremor,essential tremor,symptom-disease,Is tremor a symptom?,Is essential tremor a disease?,Is tremor a symptom of essential tremor?
diarrhea,liquid stool,disease-symptom,Is diarrhea a disease?,Is liquid stool a symptom?,Is liquid stool a symptom of diarrhea?
multiple sclerosis,chronic constipation,disease-symptom,Is multiple sclerosis a disease?,Is chronic constipation a symptom?,Is chronic constipation a symptom of multiple sclerosis?
Linzess,chronic constipation,drug-disease,Is Linzess a drug?,Is chronic constipation a disease?,Is Linzess used to treat chronic constipation?
rabies vaccination,rabies,drug-disease,Is rabies vaccination a drug?,Is rabies a disease?,Is rabies vaccination used to treat rabies?
Luvox,depression,drug-disease,Is Luvox a drug?,Is depression a disease?,Is Luvox used to treat depression?
broken bone,throbbing,disease-symptom,Is broken bone a disease?,Is throbbing a symptom?,Is throbbing a symptom of broken bone?
PEP,HIV,drug-disease,Is PEP a drug?,Is HIV a disease?,Is PEP used to treat HIV?
Torn Ankle,pain,disease-symptom,Is Torn Ankle a disease?,Is pain a symptom?,Is pain a symptom of Torn Ankle?
antibiotics,giardia,drug-disease,Is antibiotics a drug?,Is giardia a disease?,Is antibiotics used to treat giardia?
alcoholic,withdrawals,disease-symptom,Is alcoholic a disease?,Is withdrawals a symptom?,Is withdrawals a symptom of alcoholic?
withdrawals,alcoholic,symptom-disease,Is withdrawals a symptom?,Is alcoholic a disease?,Is withdrawals a symptom of alcoholic?
heat exhaustion,sweating,disease-symptom,Is heat exhaustion a disease?,Is sweating a symptom?,Is sweating a symptom of heat exhaustion?
anxiety,chest pain daily,disease-symptom,Is anxiety a disease?,Is chest pain daily a symptom?,Is chest pain daily a symptom of anxiety?
enalapril,blood pressure,drug-disease,Is enalapril a drug?,Is blood pressure a disease?,Is enalapril used to treat blood pressure?
Polycystic kidney disease,pain,disease-symptom,Is Polycystic kidney disease a disease?,Is pain a symptom?,Is pain a symptom of Polycystic kidney disease?
muscle strain,chest pain,disease-symptom,Is muscle strain a disease?,Is chest pain a symptom?,Is chest pain a symptom of muscle strain?
chest pain,cardiac/respiratory issues,symptom-disease,Is chest pain a symptom?,Is cardiac/respiratory issues a disease?,Is chest pain a symptom of cardiac/respiratory issues?
Reynaud syndrome,cold fingers,disease-symptom,Is Reynaud syndrome a disease?,Is cold fingers a symptom?,Is cold fingers a symptom of Reynaud syndrome?
kidney injury,dark urine,disease-symptom,Is kidney injury a disease?,Is dark urine a symptom?,Is dark urine a symptom of kidney injury?
rhabdomyolysis,muscle pain,disease-symptom,Is rhabdomyolysis a disease?,Is muscle pain a symptom?,Is muscle pain a symptom of rhabdomyolysis?
rhabdomyolysis,weakness,disease-symptom,Is rhabdomyolysis a disease?,Is weakness a symptom?,Is weakness a symptom of rhabdomyolysis?
blister,puffy squishy,disease-symptom,Is blister a disease?,Is puffy squishy a symptom?,Is puffy squishy a symptom of blister?
